year,quarter,period,trend_2018q4,post_full,partial_2019q1,pandemic,15,17,18,19,synthetic_rate,synthetic_gap,quarter_factor,predicted_no_law_gap,adjusted_gap
2017,4,2017Q4,-4,0,0,0,3.28629749769381,151.230609959295,344.928799912523,471.94593951961,151.230609961802,-147.944312464108,4,-166.759968791595,18.815656327487
2018,1,2018Q1,-3,0,0,0,2.11279856695327,107.096036446164,253.404436900859,329.315755379241,107.096036447901,-104.983237880948,1,-108.497760121393,3.51452224044583
2018,2,2018Q2,-2,0,0,0,2.31141579297018,107.692607521944,252.99977581093,348.250548959765,107.692607523824,-105.381191730854,2,-101.07700832758,-4.30418340327421
2018,3,2018Q3,-1,0,0,0,2.37672910531314,112.139329471447,258.146707426086,357.774039722693,112.139329473367,-109.762600368054,3,-105.523660616929,-4.23893975112503
2018,4,2018Q4,0,0,0,0,3.07577522009459,147.406179266986,318.743071163733,459.797678815262,147.406179269427,-144.330404049333,4,-151.287083338321,6.95667928898828
2019,1,2019Q1,1,0,1,0,2.03464551416673,106.510419110432,235.887469508652,326.543919005265,106.510419112152,-104.475773597985,1,-93.0248746681197,-11.4508989298652
2019,2,2019Q2,2,1,0,0,1.65369278455407,95.746503558651,232.210120091884,319.642725864063,95.7465035604008,-94.0928107758468,2,-85.6041228743059,-8.48868790154083
2019,3,2019Q3,3,1,0,0,2.00908324567505,97.2920849785422,243.415705337121,336.662450714588,97.292084980413,-95.2830017347379,3,-90.0507751636548,-5.23222657108312
2019,4,2019Q4,4,1,0,0,2.56038902142994,126.62690775077,293.003467735449,400.675508014555,126.626907752912,-124.066518731482,4,-135.814197885047,11.7476791535655
2020,1,2020Q1,5,1,0,1,1.27100327707825,78.2826671757318,195.690611110376,265.844633540005,78.2826671771977,-77.0116639001195,1,-77.551989214846,0.540325314726502
2020,2,2020Q2,6,1,0,1,0.89723913247808,43.625838438101,118.926678723318,161.629596690018,43.6258384390233,-42.7285993065452,2,-70.1312374210322,27.4026381144871
2020,3,2020Q3,7,1,0,1,1.10506554044654,82.0318027300007,208.625702752733,278.624947459915,82.0318027315372,-80.9267371910907,3,-74.5778897103811,-6.34884748070954
2020,4,2020Q4,8,1,0,1,1.62022145433062,118.215089663269,293.551175365954,426.73404493535,118.21508966568,-116.594868211349,4,-120.341312431774,3.74644422042415
2021,1,2021Q1,9,1,0,1,0.979854190280826,83.3167642604824,200.861744603844,292.696972704153,83.3167642621187,-82.3369100718379,1,-62.0791037615723,-20.2578063102656
2021,2,2021Q2,10,1,0,1,0.977673476743182,72.3377733231252,190.554563484287,268.694407009982,72.3377733246598,-71.3600998479166,2,-54.6583519677585,-16.7017478801581
2021,3,2021Q3,11,1,0,1,1.39370761392733,84.0167885562884,213.679708118832,297.736640093152,84.0167885579587,-82.6230809440314,3,-59.1050042571074,-23.5180766869239
2021,4,2021Q4,12,1,0,1,2.26263142223524,105.903477314925,267.742289799624,363.963901233293,105.903477316942,-103.640845894707,4,-104.8684269785,1.22758108379328
2022,1,2022Q1,13,1,0,0,1.02706327429956,69.3957775576387,185.083160820603,250.911498511638,69.3957775590573,-68.3687142847578,1,-46.6062183082986,-21.7624959764592
2022,2,2022Q2,14,1,0,0,1.1172394599083,68.4295764766949,188.845663333637,266.083991926183,68.4295764782396,-67.3123370183313,2,-39.1854665144848,-28.1268705038465
2022,3,2022Q3,15,1,0,0,1.79551809934458,77.894297092296,204.897439324604,291.728978627502,77.8942970939672,-76.0987789946226,3,-43.6321188038337,-32.4666601907889
2022,4,2022Q4,16,1,0,0,1.60941871867257,91.4327915191081,245.103465581236,338.870039633438,91.4327915210419,-89.8233728023693,4,-89.3955415252262,-0.427831277143142
2023,1,2023Q1,17,1,0,0,0.398007859091554,65.1676552582828,184.439919134766,253.018587074824,65.167655259751,-64.7696474006594,1,-31.1333328550249,-33.6363145456345
2023,2,2023Q2,18,1,0,0,0.895751786115389,62.5846799202904,188.240340101385,266.306061597252,62.5846799218826,-61.6889281357672,2,-23.7125810612111,-37.976347074556
2023,3,2023Q3,19,1,0,0,0.435223828104099,66.7867758437243,194.96901357899,289.474357601999,66.7867758454646,-66.3515520173605,3,-28.15923335056,-38.1923186668005
2023,4,2023Q4,20,1,0,0,0.53306306419499,81.8992070339865,249.261254052498,374.564210001915,81.8992070362737,-81.3661439720787,4,-73.9226560719525,-7.44348790012617
2024,1,2024Q1,21,1,0,0,0.87197685688963,60.169491473397,179.063355676389,258.009762028327,60.1694914749432,-59.2975146180535,1,-15.6604474017512,-43.6370672163024
2024,2,2024Q2,22,1,0,0,1.15355611836765,62.9108032936688,189.238174301733,280.592488746333,62.91080329537,-61.7572471770023,2,-8.23969560793743,-53.5175515690649
2024,3,2024Q3,23,1,0,0,0.901682954822818,57.5774627412933,186.311978472959,291.735095030129,57.5774627431232,-56.6757797883004,3,-12.6863478972863,-43.9894318910141
2024,4,2024Q4,24,1,0,0,0.8146761137364,78.6757947608096,243.043383047445,374.390289103299,78.6757947631206,-77.8611186493842,4,-58.4497706186788,-19.4113480307054
