result_id,type,description,value,unit,artifact,script,source_data,specification,causal_status
KEY_REGISTRY_NO_TREND,key_number,Mandatory no-trend Registry estimate,-37.8468763561071,percent,outputs/tables/REGISTRY_TREND_SPECIFICATION_DIVERGENCE.csv,src/13_analyze_registry.R,IBGE SIDRA table 4406; PNADC quarterly denominators,mandatory no-trend robustness,robustness; not selected as primary
KEY_REGISTRY_PRIMARY_PERCENT,key_number,Primary short-run Registry effect,-1.07184152648725,percent,outputs/tables/REGISTRY_PRIMARY_EFFECT.csv,src/13_analyze_registry.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked primary,primary causal contrast; assumption-sensitive
KEY_REGISTRY_PRIMARY_POINTS,key_number,Primary Registry effect in levels,-0.0224682463500536,"persons per 100,000",outputs/tables/REGISTRY_PRIMARY_EFFECT.csv,src/13_analyze_registry.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked primary,primary causal contrast; assumption-sensitive
KEY_REGISTRY_PRIMARY_RR,key_number,Primary short-run Registry rate ratio,0.989281584735128,rate ratio,outputs/tables/REGISTRY_PRIMARY_EFFECT.csv,src/13_analyze_registry.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked primary,primary causal contrast; assumption-sensitive
KEY_UNION_MDE_PP,key_number,Conservative-union MDE at 80% power,0.575149193665904,percentage points,outputs/tables/POWER_AND_MDE.csv,src/18_diagnostics_power.R,PNADC quarterly microdata,locked power diagnostic,precision diagnostic
KEY_UNION_MICRO_TAYLOR_PP,key_number,Union microdata Taylor estimate,0.343716667544904,percentage points,outputs/tables/PNADC_UNION_MICRODATA_ROBUSTNESS.csv,src/16_analyze_pnadc_microdata.R,PNADC quarterly microdata,locked microdata robustness,behavioral robustness
KEY_UNION_PRIMARY_PP,key_number,Primary conservative-union effect,0.398966577032208,percentage points,outputs/tables/PNADC_UNION_PRIMARY_EFFECT.csv,src/15_analyze_pnadc_cells.R,PNADC quarterly microdata,locked behavioral primary,behavioral contrast; suggestive/inconclusive
FIGURE_001,pdf,FIGURE_01_REGISTRY_RAW_RATES_BY_AGE,,,outputs/figures/FIGURE_01_REGISTRY_RAW_RATES_BY_AGE.pdf,src/13_analyze_registry.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked descriptive/export specification,"diagnostic, mechanism, or robustness as labeled"
FIGURE_003,pdf,FIGURE_02_AGE15_VS_PRIMARY_CONTROLS,,,outputs/figures/FIGURE_02_AGE15_VS_PRIMARY_CONTROLS.pdf,src/19_export_results.R,audited Registry and PNADC derived results,locked descriptive/export specification,primary/confirmatory as labeled; assumption-sensitive
FIGURE_005,pdf,FIGURE_03_REGISTRY_EVENT_STUDY,,,outputs/figures/FIGURE_03_REGISTRY_EVENT_STUDY.pdf,src/13_analyze_registry.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked descriptive/export specification,"diagnostic, mechanism, or robustness as labeled"
FIGURE_007,pdf,FIGURE_04_REGISTRY_EVENT_STUDIES_AGES_15_16_17,,,outputs/figures/FIGURE_04_REGISTRY_EVENT_STUDIES_AGES_15_16_17.pdf,src/13_analyze_registry.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked descriptive/export specification,"diagnostic, mechanism, or robustness as labeled"
FIGURE_009,pdf,FIGURE_05_REGISTRY_AGE_DISTRIBUTION_BUNCHING,,,outputs/figures/FIGURE_05_REGISTRY_AGE_DISTRIBUTION_BUNCHING.pdf,src/14_analyze_delay_exposure.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked mechanism estimand,"diagnostic, mechanism, or robustness as labeled"
FIGURE_011,pdf,FIGURE_06_REGISTRY_EXPOSURE_DDD,,,outputs/figures/FIGURE_06_REGISTRY_EXPOSURE_DDD.pdf,src/14_analyze_delay_exposure.R,IBGE SIDRA table 4406; PNADC denominator panel,locked complementary DDD,"diagnostic, mechanism, or robustness as labeled"
FIGURE_013,pdf,FIGURE_07_PNADC_UNION_RAW_PREVALENCE,,,outputs/figures/FIGURE_07_PNADC_UNION_RAW_PREVALENCE.pdf,src/15_analyze_pnadc_cells.R,PNADC quarterly microdata; design-based analytic cells,locked behavioral estimand/robustness,"diagnostic, mechanism, or robustness as labeled"
FIGURE_015,pdf,FIGURE_08_PNADC_UNION_EVENT_STUDY,,,outputs/figures/FIGURE_08_PNADC_UNION_EVENT_STUDY.pdf,src/15_analyze_pnadc_cells.R,PNADC quarterly microdata; design-based analytic cells,locked behavioral estimand/robustness,"diagnostic, mechanism, or robustness as labeled"
FIGURE_017,pdf,FIGURE_09_PLACEBOS,,,outputs/figures/FIGURE_09_PLACEBOS.pdf,src/19_export_results.R,audited Registry and PNADC derived results,locked diagnostic/robustness,"diagnostic, mechanism, or robustness as labeled"
FIGURE_019,pdf,FIGURE_10_SECONDARY_REGISTRY_OUTCOMES,,,outputs/figures/FIGURE_10_SECONDARY_REGISTRY_OUTCOMES.pdf,src/13_analyze_registry.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked descriptive/export specification,"diagnostic, mechanism, or robustness as labeled"
FIGURE_021,pdf,FIGURE_11_SINASC_STATUS_SHARES,,,outputs/figures/FIGURE_11_SINASC_STATUS_SHARES.pdf,src/22_analyze_sinasc.R,SINASC open microdata (MS/SVSA); 2015 excluded under extension Amendment A1,SINASC extension lock v1.0.0 + Amendment A1 (frozen before post-reform contrasts),extension diagnostics reject causal reading; diagnostic/descriptive only
FIGURE_023,pdf,FIGURE_12_SINASC_STATUS_EVENT_STUDY,,,outputs/figures/FIGURE_12_SINASC_STATUS_EVENT_STUDY.pdf,src/22_analyze_sinasc.R,SINASC open microdata (MS/SVSA); 2015 excluded under extension Amendment A1,SINASC extension lock v1.0.0 + Amendment A1 (frozen before post-reform contrasts),extension diagnostics reject causal reading; diagnostic/descriptive only
FIGURE_025,pdf,FIGURE_13_REGISTRY_TREND_SENSITIVITY,,,outputs/figures/FIGURE_13_REGISTRY_TREND_SENSITIVITY.pdf,src/24_analyze_registry_trend_sensitivity.R,Registry Brazil quarterly panel (SIDRA 4406; PNADC denominators),post-result trend-sensitivity protocol v1.0.0 (frozen before its estimates; gate failed),specification envelope; calibration gate failed; not a confidence or causal bound
FIGURE_002,png,FIGURE_01_REGISTRY_RAW_RATES_BY_AGE,,,outputs/figures/FIGURE_01_REGISTRY_RAW_RATES_BY_AGE.png,src/13_analyze_registry.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked descriptive/export specification,"diagnostic, mechanism, or robustness as labeled"
FIGURE_004,png,FIGURE_02_AGE15_VS_PRIMARY_CONTROLS,,,outputs/figures/FIGURE_02_AGE15_VS_PRIMARY_CONTROLS.png,src/19_export_results.R,audited Registry and PNADC derived results,locked descriptive/export specification,primary/confirmatory as labeled; assumption-sensitive
FIGURE_006,png,FIGURE_03_REGISTRY_EVENT_STUDY,,,outputs/figures/FIGURE_03_REGISTRY_EVENT_STUDY.png,src/13_analyze_registry.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked descriptive/export specification,"diagnostic, mechanism, or robustness as labeled"
FIGURE_008,png,FIGURE_04_REGISTRY_EVENT_STUDIES_AGES_15_16_17,,,outputs/figures/FIGURE_04_REGISTRY_EVENT_STUDIES_AGES_15_16_17.png,src/13_analyze_registry.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked descriptive/export specification,"diagnostic, mechanism, or robustness as labeled"
FIGURE_010,png,FIGURE_05_REGISTRY_AGE_DISTRIBUTION_BUNCHING,,,outputs/figures/FIGURE_05_REGISTRY_AGE_DISTRIBUTION_BUNCHING.png,src/14_analyze_delay_exposure.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked mechanism estimand,"diagnostic, mechanism, or robustness as labeled"
FIGURE_012,png,FIGURE_06_REGISTRY_EXPOSURE_DDD,,,outputs/figures/FIGURE_06_REGISTRY_EXPOSURE_DDD.png,src/14_analyze_delay_exposure.R,IBGE SIDRA table 4406; PNADC denominator panel,locked complementary DDD,"diagnostic, mechanism, or robustness as labeled"
FIGURE_014,png,FIGURE_07_PNADC_UNION_RAW_PREVALENCE,,,outputs/figures/FIGURE_07_PNADC_UNION_RAW_PREVALENCE.png,src/15_analyze_pnadc_cells.R,PNADC quarterly microdata; design-based analytic cells,locked behavioral estimand/robustness,"diagnostic, mechanism, or robustness as labeled"
FIGURE_016,png,FIGURE_08_PNADC_UNION_EVENT_STUDY,,,outputs/figures/FIGURE_08_PNADC_UNION_EVENT_STUDY.png,src/15_analyze_pnadc_cells.R,PNADC quarterly microdata; design-based analytic cells,locked behavioral estimand/robustness,"diagnostic, mechanism, or robustness as labeled"
FIGURE_018,png,FIGURE_09_PLACEBOS,,,outputs/figures/FIGURE_09_PLACEBOS.png,src/19_export_results.R,audited Registry and PNADC derived results,locked diagnostic/robustness,"diagnostic, mechanism, or robustness as labeled"
FIGURE_020,png,FIGURE_10_SECONDARY_REGISTRY_OUTCOMES,,,outputs/figures/FIGURE_10_SECONDARY_REGISTRY_OUTCOMES.png,src/13_analyze_registry.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked descriptive/export specification,"diagnostic, mechanism, or robustness as labeled"
FIGURE_022,png,FIGURE_11_SINASC_STATUS_SHARES,,,outputs/figures/FIGURE_11_SINASC_STATUS_SHARES.png,src/22_analyze_sinasc.R,SINASC open microdata (MS/SVSA); 2015 excluded under extension Amendment A1,SINASC extension lock v1.0.0 + Amendment A1 (frozen before post-reform contrasts),extension diagnostics reject causal reading; diagnostic/descriptive only
FIGURE_024,png,FIGURE_12_SINASC_STATUS_EVENT_STUDY,,,outputs/figures/FIGURE_12_SINASC_STATUS_EVENT_STUDY.png,src/22_analyze_sinasc.R,SINASC open microdata (MS/SVSA); 2015 excluded under extension Amendment A1,SINASC extension lock v1.0.0 + Amendment A1 (frozen before post-reform contrasts),extension diagnostics reject causal reading; diagnostic/descriptive only
FIGURE_026,png,FIGURE_13_REGISTRY_TREND_SENSITIVITY,,,outputs/figures/FIGURE_13_REGISTRY_TREND_SENSITIVITY.png,src/24_analyze_registry_trend_sensitivity.R,Registry Brazil quarterly panel (SIDRA 4406; PNADC denominators),post-result trend-sensitivity protocol v1.0.0 (frozen before its estimates; gate failed),specification envelope; calibration gate failed; not a confidence or causal bound
TABLE_001,table_csv,PNADC_UNION_AGGREGATED_HAC,,,outputs/tables/PNADC_UNION_AGGREGATED_HAC.csv,src/15_analyze_pnadc_cells.R,PNADC quarterly microdata; design-based analytic cells,locked diagnostic/robustness,"diagnostic, mechanism, or robustness as labeled"
TABLE_002,table_csv,PNADC_UNION_BY_SEX,,,outputs/tables/PNADC_UNION_BY_SEX.csv,src/15_analyze_pnadc_cells.R,PNADC quarterly microdata; design-based analytic cells,locked behavioral estimand/robustness,"diagnostic, mechanism, or robustness as labeled"
TABLE_003,table_csv,PNADC_UNION_CELL_EVENT_STUDY_POINTS,,,outputs/tables/PNADC_UNION_CELL_EVENT_STUDY_POINTS.csv,src/15_analyze_pnadc_cells.R,PNADC quarterly microdata; design-based analytic cells,locked behavioral estimand/robustness,"diagnostic, mechanism, or robustness as labeled"
TABLE_004,table_csv,PNADC_UNION_DYNAMIC_FORECAST_EVENT_STUDY,,,outputs/tables/PNADC_UNION_DYNAMIC_FORECAST_EVENT_STUDY.csv,src/15_analyze_pnadc_cells.R,PNADC quarterly microdata; design-based analytic cells,locked diagnostic/robustness,"diagnostic, mechanism, or robustness as labeled"
TABLE_005,table_csv,PNADC_UNION_DYNAMIC_FORECAST_SUMMARY,,,outputs/tables/PNADC_UNION_DYNAMIC_FORECAST_SUMMARY.csv,src/15_analyze_pnadc_cells.R,PNADC quarterly microdata; design-based analytic cells,locked diagnostic/robustness,"diagnostic, mechanism, or robustness as labeled"
TABLE_006,table_csv,PNADC_UNION_INFERENCE_TRIANGULATION,,,outputs/tables/PNADC_UNION_INFERENCE_TRIANGULATION.csv,src/15_analyze_pnadc_cells.R,PNADC quarterly microdata; design-based analytic cells,locked behavioral estimand/robustness,"diagnostic, mechanism, or robustness as labeled"
TABLE_007,table_csv,PNADC_UNION_MICRODATA_ROBUSTNESS,,,outputs/tables/PNADC_UNION_MICRODATA_ROBUSTNESS.csv,src/16_analyze_pnadc_microdata.R,PNADC quarterly microdata; design-based analytic cells,locked diagnostic/robustness,"diagnostic, mechanism, or robustness as labeled"
TABLE_008,table_csv,PNADC_UNION_PRELAW_SEASONALITY,,,outputs/tables/PNADC_UNION_PRELAW_SEASONALITY.csv,src/15_analyze_pnadc_cells.R,PNADC quarterly microdata; design-based analytic cells,locked behavioral estimand/robustness,"diagnostic, mechanism, or robustness as labeled"
TABLE_009,table_csv,PNADC_UNION_PREWINDOW_SENSITIVITY,,,outputs/tables/PNADC_UNION_PREWINDOW_SENSITIVITY.csv,src/15_analyze_pnadc_cells.R,PNADC quarterly microdata; design-based analytic cells,locked diagnostic/robustness,"diagnostic, mechanism, or robustness as labeled"
TABLE_010,table_csv,PNADC_UNION_PRIMARY_EFFECT,,,outputs/tables/PNADC_UNION_PRIMARY_EFFECT.csv,src/15_analyze_pnadc_cells.R,PNADC quarterly microdata; design-based analytic cells,locked primary,primary/confirmatory as labeled; assumption-sensitive
TABLE_011,table_csv,PNADC_UNION_RAW_PREVALENCE_BRAZIL,,,outputs/tables/PNADC_UNION_RAW_PREVALENCE_BRAZIL.csv,src/15_analyze_pnadc_cells.R,PNADC quarterly microdata; design-based analytic cells,locked behavioral estimand/robustness,"diagnostic, mechanism, or robustness as labeled"
TABLE_012,table_csv,PNADC_UNION_REGIONAL_HETEROGENEITY,,,outputs/tables/PNADC_UNION_REGIONAL_HETEROGENEITY.csv,src/15_analyze_pnadc_cells.R,PNADC quarterly microdata; design-based analytic cells,locked behavioral estimand/robustness,"diagnostic, mechanism, or robustness as labeled"
TABLE_013,table_csv,PNADC_UNION_ROBUSTNESS_GRID,,,outputs/tables/PNADC_UNION_ROBUSTNESS_GRID.csv,src/15_analyze_pnadc_cells.R,PNADC quarterly microdata; design-based analytic cells,locked diagnostic/robustness,"diagnostic, mechanism, or robustness as labeled"
TABLE_014,table_csv,POWER_AND_MDE,,,outputs/tables/POWER_AND_MDE.csv,src/18_diagnostics_power.R,audited Registry and PNADC derived results,locked diagnostic/robustness,"diagnostic, mechanism, or robustness as labeled"
TABLE_015,table_csv,PRETREND_DIAGNOSTICS,,,outputs/tables/PRETREND_DIAGNOSTICS.csv,src/18_diagnostics_power.R,audited Registry and PNADC derived results,locked diagnostic/robustness,"diagnostic, mechanism, or robustness as labeled"
TABLE_016,table_csv,REGISTRY_AGE_DISTRIBUTION_WINDOWS,,,outputs/tables/REGISTRY_AGE_DISTRIBUTION_WINDOWS.csv,src/14_analyze_delay_exposure.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked descriptive/export specification,"diagnostic, mechanism, or robustness as labeled"
TABLE_017,table_csv,REGISTRY_AGE_SPECIFIC_EFFECTS,,,outputs/tables/REGISTRY_AGE_SPECIFIC_EFFECTS.csv,src/14_analyze_delay_exposure.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked mechanism estimand,"diagnostic, mechanism, or robustness as labeled"
TABLE_018,table_csv,REGISTRY_AGGREGATE_RECAPTURE,,,outputs/tables/REGISTRY_AGGREGATE_RECAPTURE.csv,src/14_analyze_delay_exposure.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked mechanism estimand,"diagnostic, mechanism, or robustness as labeled"
TABLE_019,table_csv,REGISTRY_AGGREGATED_HAC,,,outputs/tables/REGISTRY_AGGREGATED_HAC.csv,src/13_analyze_registry.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked diagnostic/robustness,"diagnostic, mechanism, or robustness as labeled"
TABLE_020,table_csv,REGISTRY_ANNUAL_UF_ROBUSTNESS,,,outputs/tables/REGISTRY_ANNUAL_UF_ROBUSTNESS.csv,src/13_analyze_registry.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked diagnostic/robustness,"diagnostic, mechanism, or robustness as labeled"
TABLE_021,table_csv,REGISTRY_BRAZIL_SENSITIVITY,,,outputs/tables/REGISTRY_BRAZIL_SENSITIVITY.csv,src/13_analyze_registry.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked diagnostic/robustness,"diagnostic, mechanism, or robustness as labeled"
TABLE_022,table_csv,REGISTRY_DELAY_DYNAMIC_EVENT_STUDIES,,,outputs/tables/REGISTRY_DELAY_DYNAMIC_EVENT_STUDIES.csv,src/14_analyze_delay_exposure.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked mechanism estimand,"diagnostic, mechanism, or robustness as labeled"
TABLE_023,table_csv,REGISTRY_DELAY_EVENT_COUNTS,,,outputs/tables/REGISTRY_DELAY_EVENT_COUNTS.csv,src/14_analyze_delay_exposure.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked mechanism estimand,"diagnostic, mechanism, or robustness as labeled"
TABLE_024,table_csv,REGISTRY_DENOMINATOR_UNCERTAINTY,,,outputs/tables/REGISTRY_DENOMINATOR_UNCERTAINTY.csv,src/13_analyze_registry.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked descriptive/export specification,"diagnostic, mechanism, or robustness as labeled"
TABLE_025,table_csv,REGISTRY_DYNAMIC_FORECAST_EVENT_STUDY,,,outputs/tables/REGISTRY_DYNAMIC_FORECAST_EVENT_STUDY.csv,src/13_analyze_registry.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked diagnostic/robustness,"diagnostic, mechanism, or robustness as labeled"
TABLE_026,table_csv,REGISTRY_DYNAMIC_FORECAST_SUMMARY,,,outputs/tables/REGISTRY_DYNAMIC_FORECAST_SUMMARY.csv,src/13_analyze_registry.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked diagnostic/robustness,"diagnostic, mechanism, or robustness as labeled"
TABLE_027,table_csv,REGISTRY_EXPOSURE_DDD_EVENT_STUDY,,,outputs/tables/REGISTRY_EXPOSURE_DDD_EVENT_STUDY.csv,src/14_analyze_delay_exposure.R,IBGE SIDRA table 4406; PNADC denominator panel,locked complementary DDD,"diagnostic, mechanism, or robustness as labeled"
TABLE_028,table_csv,REGISTRY_EXPOSURE_DDD,,,outputs/tables/REGISTRY_EXPOSURE_DDD.csv,src/14_analyze_delay_exposure.R,IBGE SIDRA table 4406; PNADC denominator panel,locked complementary DDD,"diagnostic, mechanism, or robustness as labeled"
TABLE_029,table_csv,REGISTRY_EXPOSURE_DIAGNOSTICS,,,outputs/tables/REGISTRY_EXPOSURE_DIAGNOSTICS.csv,src/14_analyze_delay_exposure.R,IBGE SIDRA table 4406; PNADC denominator panel,locked complementary DDD,"diagnostic, mechanism, or robustness as labeled"
TABLE_030,table_csv,REGISTRY_EXPOSURE_UF_WITH_HOLDOUT,,,outputs/tables/REGISTRY_EXPOSURE_UF_WITH_HOLDOUT.csv,src/14_analyze_delay_exposure.R,IBGE SIDRA table 4406; PNADC denominator panel,locked complementary DDD,"diagnostic, mechanism, or robustness as labeled"
TABLE_031,table_csv,REGISTRY_INFERENCE_TRIANGULATION,,,outputs/tables/REGISTRY_INFERENCE_TRIANGULATION.csv,src/13_analyze_registry.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked descriptive/export specification,"diagnostic, mechanism, or robustness as labeled"
TABLE_032,table_csv,REGISTRY_MONTHLY_AGGREGATED_HAC,,,outputs/tables/REGISTRY_MONTHLY_AGGREGATED_HAC.csv,src/17_analyze_registry_monthly.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked diagnostic/robustness,"diagnostic, mechanism, or robustness as labeled"
TABLE_033,table_csv,REGISTRY_MONTHLY_BRAZIL_SENSITIVITY,,,outputs/tables/REGISTRY_MONTHLY_BRAZIL_SENSITIVITY.csv,src/17_analyze_registry_monthly.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked diagnostic/robustness,"diagnostic, mechanism, or robustness as labeled"
TABLE_034,table_csv,REGISTRY_MONTHLY_FORECAST_SUMMARY,,,outputs/tables/REGISTRY_MONTHLY_FORECAST_SUMMARY.csv,src/17_analyze_registry_monthly.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked diagnostic/robustness,"diagnostic, mechanism, or robustness as labeled"
TABLE_035,table_csv,REGISTRY_MONTHLY_RAW_GAP,,,outputs/tables/REGISTRY_MONTHLY_RAW_GAP.csv,src/17_analyze_registry_monthly.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked descriptive/export specification,"diagnostic, mechanism, or robustness as labeled"
TABLE_036,table_csv,REGISTRY_MONTHLY_REGISTRATION_ROBUSTNESS,,,outputs/tables/REGISTRY_MONTHLY_REGISTRATION_ROBUSTNESS.csv,src/17_analyze_registry_monthly.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked diagnostic/robustness,"diagnostic, mechanism, or robustness as labeled"
TABLE_037,table_csv,REGISTRY_PLACEBO_DATES,,,outputs/tables/REGISTRY_PLACEBO_DATES.csv,src/13_analyze_registry.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked diagnostic/robustness,"diagnostic, mechanism, or robustness as labeled"
TABLE_038,table_csv,REGISTRY_PPML_EVENT_STUDY_POINTS,,,outputs/tables/REGISTRY_PPML_EVENT_STUDY_POINTS.csv,src/13_analyze_registry.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked descriptive/export specification,"diagnostic, mechanism, or robustness as labeled"
TABLE_039,table_csv,REGISTRY_PRELAW_SEASONALITY,,,outputs/tables/REGISTRY_PRELAW_SEASONALITY.csv,src/13_analyze_registry.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked descriptive/export specification,"diagnostic, mechanism, or robustness as labeled"
TABLE_040,table_csv,REGISTRY_PREWINDOW_SENSITIVITY,,,outputs/tables/REGISTRY_PREWINDOW_SENSITIVITY.csv,src/13_analyze_registry.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked diagnostic/robustness,"diagnostic, mechanism, or robustness as labeled"
TABLE_041,table_csv,REGISTRY_PRIMARY_BY_SEX,,,outputs/tables/REGISTRY_PRIMARY_BY_SEX.csv,src/13_analyze_registry.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked descriptive/export specification,primary/confirmatory as labeled; assumption-sensitive
TABLE_042,table_csv,REGISTRY_PRIMARY_EFFECT,,,outputs/tables/REGISTRY_PRIMARY_EFFECT.csv,src/13_analyze_registry.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked primary,primary/confirmatory as labeled; assumption-sensitive
TABLE_043,table_csv,REGISTRY_RAW_RATES_BRAZIL,,,outputs/tables/REGISTRY_RAW_RATES_BRAZIL.csv,src/13_analyze_registry.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked descriptive/export specification,"diagnostic, mechanism, or robustness as labeled"
TABLE_044,table_csv,REGISTRY_ROBUSTNESS_GRID,,,outputs/tables/REGISTRY_ROBUSTNESS_GRID.csv,src/13_analyze_registry.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked diagnostic/robustness,"diagnostic, mechanism, or robustness as labeled"
TABLE_045,table_csv,REGISTRY_SECONDARY_OUTCOMES_BRAZIL,,,outputs/tables/REGISTRY_SECONDARY_OUTCOMES_BRAZIL.csv,src/13_analyze_registry.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked descriptive/export specification,"diagnostic, mechanism, or robustness as labeled"
TABLE_046,table_csv,REGISTRY_SYNTHETIC_AGE_GAPS,,,outputs/tables/REGISTRY_SYNTHETIC_AGE_GAPS.csv,src/13_analyze_registry.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked descriptive/export specification,"diagnostic, mechanism, or robustness as labeled"
TABLE_047,table_csv,REGISTRY_SYNTHETIC_AGE_SUMMARY,,,outputs/tables/REGISTRY_SYNTHETIC_AGE_SUMMARY.csv,src/13_analyze_registry.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked descriptive/export specification,"diagnostic, mechanism, or robustness as labeled"
