source_id,title,institution_or_authors,url,access_date,local_copy,verification_note
ibge_pnadc_visit1_data,"PNAD Contínua anual — microdados da primeira visita",Instituto Brasileiro de Geografia e Estatística — IBGE,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Anual/Microdados/Visita/Visita_1/Dados/,2026-09-01,Darcio/references/ibge_pnadc_visita1_data_directory.html,"Diretório oficial aberto; 11 arquivos usados (2012–2019 e 2022–2024), com URL individual e hash no manifesto de aquisição"
ibge_pnadc_visit1_documentation,"PNAD Contínua anual — documentação da primeira visita",Instituto Brasileiro de Geografia e Estatística — IBGE,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Anual/Microdados/Visita/Visita_1/Documentacao/,2026-09-01,Darcio/references/ibge_pnadc_visita1_documentation_directory.html,"Diretório oficial aberto; dicionário e input específicos de cada layout baixados e conferidos"
ibge_pnadc_quarterly_data,"PNAD Contínua trimestral — microdados",Instituto Brasileiro de Geografia e Estatística — IBGE,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/,2026-09-01,Darcio/references/ibge_pnadc_quarterly_directory.html,"Diretório oficial aberto; 48 arquivos de 2013T1–2024T4 usados, com URL individual e SHA-256 no manifesto"
ibge_pnadc_quarterly_documentation,"PNAD Contínua trimestral — documentação dos microdados",Instituto Brasileiro de Geografia e Estatística — IBGE,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/Documentacao/,2026-09-01,Darcio/references/ibge_pnadc_quarterly_documentation_directory.html,"Diretório oficial aberto; dicionário e input baixados, extraídos e conferidos; V1028 é o peso trimestral calibrado"
ibge_pnadc_quarterly_dictionary,"Dicionário e input da PNAD Contínua trimestral",Instituto Brasileiro de Geografia e Estatística — IBGE,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Trimestral/Microdados/Documentacao/Dicionario_e_input_20221031.zip,2026-09-01,Darcio/references/pnadc_quarterly_documentation/Dicionario_e_input_20221031.zip,"Arquivo oficial aberto e conferido; contém dicionário XLS e inputs SAS/TXT usados no parser de largura fixa"
sinasc_dataset_page,"Sistema de Informação sobre Nascidos Vivos – Sinasc (dataset OpenDataSUS)",Ministério da Saúde,https://dadosabertos.saude.gov.br/dataset/sistema-de-informacao-sobre-nascidos-vivos-sinasc,2026-09-02,,"Aberta via rota de dados do portal; 95 recursos CSV/JSON/XML 1996–2026; 2024 final, 2025 preliminar; licença CC-BY; metadata_modified 2026-08-31"
sinasc_dictionary_svs,"Dicionário de Dados do SINASC — tabela DN",Secretaria de Vigilância em Saúde — Ministério da Saúde,https://svs.aids.gov.br/download/Dicionario_de_Dados_SINASC_tabela_DN.pdf,2026-09-02,references/sinasc/Dicionario_SINASC_DN.pdf,"Aberto e conferido: ESTCIVMAE (1 Solteira; 2 Casada; 3 Viúva; 4 Separada/divorciada; 5 União estável; 9 Ignorada), IDADEMAE, DTNASCMAE, DTNASC, CODMUNRES; SHA-256 e20200c89965e3ca0fb0993fe769dcd3d9b60e6eb02a159f46fd616dfcd43796"
sinasc_dictionary_current,"SINASC — Estrutura (Dicionário de Dados vigente)",Ministério da Saúde — OpenDataSUS,https://diaad.s3.sa-east-1.amazonaws.com/sinasc/SINASC+-+Estrutura.pdf,2026-09-02,references/sinasc/SINASC_Estrutura_atual.pdf,"Baixado do recurso oficial do dataset; SHA-256 0ffc459946872d704cb4073a2e3b2d0f96706e1e18e272d7186f18b077cdcee4"
sinasc_csv_s3,"SINASC — microdados anuais em CSV (nascidos vivos 1996–2026)",Ministério da Saúde — OpenDataSUS,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/SINASC/csv/SINASC_2019_csv.zip,2026-09-02,data/raw_external/sinasc/,"Testados 2019 (2.849.146 linhas; zero malformadas) e 2015 (2.786.525 linhas; última linha truncada); manifesto SHA-256 em data/raw_external/sinasc/SHA256_MANIFEST.txt; totais anuais pendentes de conferência contra publicação SVSA"
sinasc_institutional_page,"Sistema de Informações sobre Nascidos Vivos — página institucional",Ministério da Saúde — SVSA,https://www.gov.br/saude/pt-br/composicao/svsa/sistemas-de-informacao/sinasc,2026-09-02,,"Página institucional de referência do sistema; DN coletada por estabelecimentos de saúde e cartórios"
svsa_boletim_mulher_2023,"Boletim Epidemiológico especial: saúde da mulher brasileira (março/2023)",Secretaria de Vigilância em Saúde e Ambiente — Ministério da Saúde,https://www.gov.br/saude/pt-br/centrais-de-conteudo/publicacoes/boletins/epidemiologicos/especiais/2023/saude-da-mulher-brasileira-uma-perspectiva-integrada-entre-vigilancia-e-atencao-a-saude-numero-especial-mar.2023/@@download/file/boletim_especial_mulher_SVSA_2023_v2.pdf,2026-09-02,references/sinasc/boletim_especial_mulher_SVSA_2023.pdf,"Aberto e conferido: total SINASC 2014-2021 = 22.974.531; 2014 = 2.979.259 (bate exato com CSV aberto); 2021 preliminar = 2.672.046; usado na validação que revelou déficit de 231.143 registros na exportação aberta de 2015"
un_sdg5_target53,"Sustainable Development Goal 5 — Target 5.3",United Nations — Department of Economic and Social Affairs,https://sdgs.un.org/goals/goal5,2026-09-02,,"Página oficial aberta e conferida: Target 5.3 determina eliminar práticas nocivas, incluindo casamento infantil, precoce e forçado"
ibge_registry_rc2_2022,"Estatísticas do Registro Civil 2022 — questionário RC.2 Casamentos",Instituto Brasileiro de Geografia e Estatística — IBGE,https://biblioteca.ibge.gov.br/visualizacao/periodicos/135/rc_2022_v49_notas_tecnicas.pdf,2026-09-02,references/ibge_registro_civil_2022_notas_tecnicas.pdf,"Questionário oficial inspecionado visualmente: coleta data do casamento, data do registro, datas de nascimento, sexo, estado civil anterior e município/UF de domicílio ou residência de ambos os cônjuges"
ibge_registry_instruction_2009,"Manual de orientação e verificação das Estatísticas do Registro Civil — modelo RC.2",Instituto Brasileiro de Geografia e Estatística — IBGE,https://www.ibge.gov.br/biblioteca/visualizacao/instrumentos_de_coleta/doc2675.pdf,2026-09-02,,"Manual oficial de 2009 aberto e lido: confirma datas exatas de casamento e nascimento e residência de ambos os cônjuges; instruções antecedem a janela 2013–2024"
ibge_confidentiality_2018,"Confidencialidade no IBGE: procedimentos adotados na preservação do sigilo das informações individuais",Instituto Brasileiro de Geografia e Estatística — IBGE,https://biblioteca.ibge.gov.br/visualizacao/livros/liv101636.pdf,2026-09-02,,"Aberto e conferido: microdados do Registro Civil não são públicos por risco de identificação; pesquisadores externos podem acessar microdados não desidentificados na SAR sob controle"
ibge_sar_page,"Sala de Acesso a Dados Restritos — SAR",Instituto Brasileiro de Geografia e Estatística — IBGE,https://www.ibge.gov.br/acesso-informacao/sala-de-acesso-a-dados-restritos.html,2026-09-02,,"Página oficial conferida: acesso mediante projeto aprovado pelo CAD e termo de compromisso; microdados não desidentificados em ambiente seguro"
ibge_sar_guide_2022,"Guia do Usuário da Sala de Acesso a Dados Restritos",Instituto Brasileiro de Geografia e Estatística — IBGE,https://www.ibge.gov.br/images/pdf/acessoinformacao/guia_do_usuario_da_sala_de_acesso_a_dados_restritos_202211.pdf,2026-09-02,,"PDF oficial lido: exige vínculo institucional, projeto, variáveis justificadas, avaliação técnica/CAD, termo, supervisão, revisão de outputs e taxa"
cnj_datajud_api_access,"API Pública do DataJud — acesso",Conselho Nacional de Justiça — CNJ,https://datajud-wiki.cnj.jus.br/api-publica/acesso/,2026-09-02,,"Documentação oficial aberta: a API disponibiliza metadados de processos públicos; chave pública é rotativa e não foi gravada nos artefatos"
cnj_datajud_api_glossary,"API Pública do DataJud — glossário de dados",Conselho Nacional de Justiça — CNJ,https://datajud-wiki.cnj.jus.br/api-publica/glossario/,2026-09-02,,"Aberto e conferido: campos de data de ajuizamento, sigilo, classe, assuntos, órgão julgador/município e movimentos; não documenta idade da parte ou fundamento do pedido"
cnj_resolution_331,"Resolução CNJ nº 331/2020 — DataJud, texto compilado",Conselho Nacional de Justiça — CNJ,https://atos.cnj.jus.br/atos/detalhar/3428,2026-09-02,,"Texto oficial lido: base integral recebe processos públicos e sigilosos; carga inicial mínima inclui pendentes e baixados desde 01/01/2020; acesso além da API pode depender de acordo com instituição de pesquisa"
cnj_resolution_437,"Resolução CNJ nº 437/2021",Conselho Nacional de Justiça — CNJ,https://atos.cnj.jus.br/atos/detalhar/4212,2026-09-02,,"Texto oficial aberto: fixa a redação vigente da cobertura histórica mínima — pendentes e baixados desde 01/01/2020"
cpc_2015_art189,"Lei nº 13.105/2015 — Código de Processo Civil consolidado, art. 189",Câmara dos Deputados,https://www2.camara.leg.br/legin/fed/lei/2015/lei-13105-16-marco-2015-780273-normaatualizada-pl.pdf,2026-09-02,,"PDF oficial consolidado lido: art. 189(II) determina segredo de justiça em processos que versem sobre casamento"
cnj_tpu_class143,"Tabela de classes processuais da Justiça Estadual — TPU 143",Conselho Nacional de Justiça — CNJ,https://www.cnj.jus.br/wp-content/uploads/2011/02/tabela-de-classes-justia-estadual.pdf,2026-09-02,,"Documento oficial aberto: código 143 corresponde a Suprimento de Idade e/ou Consentimento; classe combina dois fundamentos"
cnj_retention_marriage,"Tabela de temporalidade de documentos do foro extrajudicial",Conselho Nacional de Justiça — CNJ,https://atos.cnj.jus.br/atos/detalhar/2512,2026-09-02,,"Ato oficial conferido: habilitação de casamento pode incluir sentença de suprimento de idade núbil; reconhece registros de suprimento de idade ou consentimento"
govbr_ibge_sar_service,"Solicitar acesso à sala de dados restritos — IBGE",Governo Federal / Instituto Brasileiro de Geografia e Estatística,https://www.gov.br/pt-br/servicos/solicitacao-de-acesso-a-sala-de-dados-restritos,2026-09-02,,"Página oficial vigente, modificada em 25/08/2026: serviço ativo via Gov.br; exige vínculo institucional, projeto, avaliação pelo CAD, termo e execução nas instalações da SAR; custo e prazo não estimados"
ibge_registry_public_tables,"Estatísticas do Registro Civil — tabelas públicas de resultados de casamentos",Instituto Brasileiro de Geografia e Estatística — IBGE,https://ftp.ibge.gov.br/Registro_Civil/Tabelas_de_Resultados/,2026-09-02,outputs/audit/REGISTRY_PUBLIC_TABLES_ACQUISITION.csv,"Catálogo oficial aberto; 12 ZIPs de 2013–2024 baixados sequencialmente, validados por CRC e registrados com URL e SHA-256; são tabelas agregadas, não microdados individuais"
