source,product_class,year,periods,n_rows,geography_units,geography_level,age_support,sex_coverage,weighted_population,event_count,unweighted_union_count,usable_for,notes,year
registry_sidra_local_extracts,SIDRA table 4406 UF aggregate; second-spouse selected ages,2020,annual; month fixed at Total,216,27,UF,8 age codes; 0 labeled rows,second spouse in male-female marriages,,,,validation and selected second-spouse numerators,numeric values=0; missing values=216,
registry_sidra_local_extracts,SIDRA table 4406 UF aggregate; second-spouse selected ages,2021,annual; month fixed at Total,216,27,UF,8 age codes; 216 labeled rows,second spouse in male-female marriages,,,,validation and selected second-spouse numerators,numeric values=197; missing values=19,
registry_sidra_local_extracts,SIDRA table 4406 UF aggregate; second-spouse selected ages,2022,annual; month fixed at Total,216,27,UF,8 age codes; 216 labeled rows,second spouse in male-female marriages,,,,validation and selected second-spouse numerators,numeric values=195; missing values=21,
registry_sidra_local_extracts,SIDRA table 4406 UF aggregate; second-spouse selected ages,2023,annual; month fixed at Total,216,27,UF,8 age codes; 216 labeled rows,second spouse in male-female marriages,,,,validation and selected second-spouse numerators,numeric values=184; missing values=32,
registry_sidra_local_extracts,SIDRA table 4406 UF aggregate; second-spouse selected ages,2024,annual; month fixed at Total,216,27,UF,8 age codes; 216 labeled rows,second spouse in male-female marriages,,,,validation and selected second-spouse numerators,numeric values=187; missing values=29,
registry_sidra_official,Registry Civil SIDRA table 4406; all couple compositions,2013,annual plus 12 registration months,567,27,UF of registration office,<15; exact 15-19; unknown for both spouses,"male, female, combined; opposite- and same-sex marriages",,1052477,,"person-event numerators, affected marriages, delay/bunching, registration-month robustness","Age is completed years at registration; month is registration, not occurrence; location is cartorio",2013
registry_sidra_official,Registry Civil SIDRA table 4406; all couple compositions,2014,annual plus 12 registration months,567,27,UF of registration office,<15; exact 15-19; unknown for both spouses,"male, female, combined; opposite- and same-sex marriages",,1106440,,"person-event numerators, affected marriages, delay/bunching, registration-month robustness","Age is completed years at registration; month is registration, not occurrence; location is cartorio",2014
registry_sidra_official,Registry Civil SIDRA table 4406; all couple compositions,2015,annual plus 12 registration months,567,27,UF of registration office,<15; exact 15-19; unknown for both spouses,"male, female, combined; opposite- and same-sex marriages",,1137348,,"person-event numerators, affected marriages, delay/bunching, registration-month robustness","Age is completed years at registration; month is registration, not occurrence; location is cartorio",2015
registry_sidra_official,Registry Civil SIDRA table 4406; all couple compositions,2016,annual plus 12 registration months,567,27,UF of registration office,<15; exact 15-19; unknown for both spouses,"male, female, combined; opposite- and same-sex marriages",,1095535,,"person-event numerators, affected marriages, delay/bunching, registration-month robustness","Age is completed years at registration; month is registration, not occurrence; location is cartorio",2016
registry_sidra_official,Registry Civil SIDRA table 4406; all couple compositions,2017,annual plus 12 registration months,567,27,UF of registration office,<15; exact 15-19; unknown for both spouses,"male, female, combined; opposite- and same-sex marriages",,1070376,,"person-event numerators, affected marriages, delay/bunching, registration-month robustness","Age is completed years at registration; month is registration, not occurrence; location is cartorio",2017
registry_sidra_official,Registry Civil SIDRA table 4406; all couple compositions,2018,annual plus 12 registration months,567,27,UF of registration office,<15; exact 15-19; unknown for both spouses,"male, female, combined; opposite- and same-sex marriages",,1053467,,"person-event numerators, affected marriages, delay/bunching, registration-month robustness","Age is completed years at registration; month is registration, not occurrence; location is cartorio",2018
registry_sidra_official,Registry Civil SIDRA table 4406; all couple compositions,2019,annual plus 12 registration months,567,27,UF of registration office,<15; exact 15-19; unknown for both spouses,"male, female, combined; opposite- and same-sex marriages",,1024676,,"person-event numerators, affected marriages, delay/bunching, registration-month robustness","Age is completed years at registration; month is registration, not occurrence; location is cartorio",2019
registry_sidra_official,Registry Civil SIDRA table 4406; all couple compositions,2020,annual plus 12 registration months,567,27,UF of registration office,<15; exact 15-19; unknown for both spouses,"male, female, combined; opposite- and same-sex marriages",,757179,,"person-event numerators, affected marriages, delay/bunching, registration-month robustness","Age is completed years at registration; month is registration, not occurrence; location is cartorio",2020
registry_sidra_official,Registry Civil SIDRA table 4406; all couple compositions,2021,annual plus 12 registration months,567,27,UF of registration office,<15; exact 15-19; unknown for both spouses,"male, female, combined; opposite- and same-sex marriages",,932502,,"person-event numerators, affected marriages, delay/bunching, registration-month robustness","Age is completed years at registration; month is registration, not occurrence; location is cartorio",2021
registry_sidra_official,Registry Civil SIDRA table 4406; all couple compositions,2022,annual plus 12 registration months,567,27,UF of registration office,<15; exact 15-19; unknown for both spouses,"male, female, combined; opposite- and same-sex marriages",,970041,,"person-event numerators, affected marriages, delay/bunching, registration-month robustness","Age is completed years at registration; month is registration, not occurrence; location is cartorio",2022
registry_sidra_official,Registry Civil SIDRA table 4406; all couple compositions,2023,annual plus 12 registration months,567,27,UF of registration office,<15; exact 15-19; unknown for both spouses,"male, female, combined; opposite- and same-sex marriages",,940799,,"person-event numerators, affected marriages, delay/bunching, registration-month robustness","Age is completed years at registration; month is registration, not occurrence; location is cartorio",2023
registry_sidra_official,Registry Civil SIDRA table 4406; all couple compositions,2024,annual plus 12 registration months,567,27,UF of registration office,<15; exact 15-19; unknown for both spouses,"male, female, combined; opposite- and same-sex marriages",,948925,,"person-event numerators, affected marriages, delay/bunching, registration-month robustness","Age is completed years at registration; month is registration, not occurrence; location is cartorio",2024
