canonical_field,product,official_raw_field,derived_field,availability,dictionary_checked,coding_or_rule,analysis_use,limitation
replicate_weights,PNADC annual by first visit,not supplied,unavailable,not available,Official year-specific IBGE first-visit dictionary in Darcio/references/pnadc_documentation,no replicate-weight product,blocked,design-based SE uses Taylor linearization
school_attendance,PNADC annual by first visit,V3002,school_attendance,available,Official year-specific IBGE first-visit dictionary in Darcio/references/pnadc_documentation,1 yes; 2 no,exploratory,exploratory only
sex,PNADC annual by first visit,V2007,sex_code,available,Official year-specific IBGE first-visit dictionary in Darcio/references/pnadc_documentation,1 male; 2 female,sex strata,none
stratum,PNADC annual by first visit,Estrato,stratum,available,Official year-specific IBGE first-visit dictionary in Darcio/references/pnadc_documentation,design stratum,variance,public design identifier
uf,PNADC annual by first visit,UF,uf,available,Official year-specific IBGE first-visit dictionary in Darcio/references/pnadc_documentation,IBGE state code,primary geography,no municipal identifier
uncalibrated_weight,PNADC annual by first visit,V1031,annual_uncalibrated_weight,available,Official year-specific IBGE first-visit dictionary in Darcio/references/pnadc_documentation,annual uncalibrated weight,audit only,not used
upa,PNADC annual by first visit,UPA,upa,available,Official year-specific IBGE first-visit dictionary in Darcio/references/pnadc_documentation,design PSU,variance,public design identifier
urban_rural,PNADC annual by first visit,V1022,urban_rural_code,available,Official year-specific IBGE first-visit dictionary in Darcio/references/pnadc_documentation,official code,heterogeneity,none
visit,PNADC annual by first visit,file is first-visit product,implicit visit=1,available,Official year-specific IBGE first-visit dictionary in Darcio/references/pnadc_documentation,all files explicitly visita1,product classification,household rotation product
worked,PNADC annual by first visit,V4001,worked_reference_week,available,Official year-specific IBGE first-visit dictionary in Darcio/references/pnadc_documentation,1 yes; 2 no,exploratory,exploratory only
year,PNADC annual by first visit,Ano,year,available,Official year-specific IBGE first-visit dictionary in Darcio/references/pnadc_documentation,reference year,time,annual common frequency
age,PNADC quarterly,V2009,age,available,Official IBGE quarterly dictionary: Darcio/references/pnadc_quarterly_documentation/dicionario_PNADC_microdados_trimestral.xls,completed years; no conventional RD,treatment/control age,annual age only
birth_day,PNADC quarterly,V2008,birth_day,available,Official IBGE quarterly dictionary: Darcio/references/pnadc_quarterly_documentation/dicionario_PNADC_microdados_trimestral.xls,invalid codes to missing,exact-day feasibility audit,does not create exact marriage age
birth_month,PNADC quarterly,V20081,birth_month,available,Official IBGE quarterly dictionary: Darcio/references/pnadc_quarterly_documentation/dicionario_PNADC_microdados_trimestral.xls,invalid codes to missing,birth-month audit,does not create exact marriage age
birth_year,PNADC quarterly,V20082,birth_year,available,Official IBGE quarterly dictionary: Darcio/references/pnadc_quarterly_documentation/dicionario_PNADC_microdados_trimestral.xls,invalid codes to missing,birth-year audit,does not create exact marriage age
calibrated_weight,PNADC quarterly,V1028,quarterly_calibrated_weight,available,Official IBGE quarterly dictionary: Darcio/references/pnadc_quarterly_documentation/dicionario_PNADC_microdados_trimestral.xls,quarterly nonresponse-corrected and calibrated weight; never divided by four,quarterly expansion,calibrated to annual projection
earnings,PNADC quarterly,VD4019,usual_monthly_earnings_raw,available,Official IBGE quarterly dictionary: Darcio/references/pnadc_quarterly_documentation/dicionario_PNADC_microdados_trimestral.xls,raw official derived code,exploratory,nominal/raw; not primary
education_level,PNADC quarterly,VD3004/VD3005,education_level_code/years_education_code,available,Official IBGE quarterly dictionary: Darcio/references/pnadc_quarterly_documentation/dicionario_PNADC_microdados_trimestral.xls,official derived codes,exploratory,layout varies by year
hours,PNADC quarterly,VD4031,usual_weekly_hours_raw,available,Official IBGE quarterly dictionary: Darcio/references/pnadc_quarterly_documentation/dicionario_PNADC_microdados_trimestral.xls,raw official derived code,exploratory,layout varies by year
household_id,PNADC quarterly,UPA+V1008+V1014,household_cluster (two-seed non-reversible hash),available,Official IBGE quarterly dictionary: Darcio/references/pnadc_quarterly_documentation/dicionario_PNADC_microdados_trimestral.xls,used transiently then raw selection keys dropped,union construction only,stable raw dwelling key is not exported; hash supports repeated-dwelling clustering
household_role,PNADC quarterly,V2005,household_role_code,available,Official IBGE quarterly dictionary: Darcio/references/pnadc_quarterly_documentation/dicionario_PNADC_microdados_trimestral.xls,V2005 official categories,union definitions,conservative definition misses non-head couples
person_id,PNADC quarterly,household key+V2003,person_order (not a longitudinal person key),available,Official IBGE quarterly dictionary: Darcio/references/pnadc_quarterly_documentation/dicionario_PNADC_microdados_trimestral.xls,retained only as within-household order,not longitudinal,must not link persons over time
public_domain,PNADC quarterly,Capital/RM_RIDE/V1023,capital_code/metro_code/area_type_code,available,Official IBGE quarterly dictionary: Darcio/references/pnadc_quarterly_documentation/dicionario_PNADC_microdados_trimestral.xls,public domains only,heterogeneity,no private municipality
quarter,PNADC quarterly,Trimestre,quarter,available,Official IBGE quarterly dictionary: Darcio/references/pnadc_quarterly_documentation/dicionario_PNADC_microdados_trimestral.xls,reference quarter,primary common time frequency,not a quarterly cross-section weight
race_color,PNADC quarterly,V2010,race_color_code,available,Official IBGE quarterly dictionary: Darcio/references/pnadc_quarterly_documentation/dicionario_PNADC_microdados_trimestral.xls,official categories,heterogeneity,sample-size limits
region,PNADC quarterly,derived from UF,region,available,Official IBGE quarterly dictionary: Darcio/references/pnadc_quarterly_documentation/dicionario_PNADC_microdados_trimestral.xls,UF-to-region deterministic map,geographic robustness,derived
replicate_weights,PNADC quarterly,not supplied in this product,unavailable,not available,Official IBGE quarterly dictionary: Darcio/references/pnadc_quarterly_documentation/dicionario_PNADC_microdados_trimestral.xls,no replicate-weight product,blocked,Taylor linearization uses Estrato and UPA
school_attendance,PNADC quarterly,V3002,school_attendance,available,Official IBGE quarterly dictionary: Darcio/references/pnadc_quarterly_documentation/dicionario_PNADC_microdados_trimestral.xls,1 yes; 2 no,exploratory,exploratory only
sex,PNADC quarterly,V2007,sex_code,available,Official IBGE quarterly dictionary: Darcio/references/pnadc_quarterly_documentation/dicionario_PNADC_microdados_trimestral.xls,1 male; 2 female,sex strata,none
stratum,PNADC quarterly,Estrato,stratum,available,Official IBGE quarterly dictionary: Darcio/references/pnadc_quarterly_documentation/dicionario_PNADC_microdados_trimestral.xls,design stratum,variance,public design identifier
uf,PNADC quarterly,UF,uf,available,Official IBGE quarterly dictionary: Darcio/references/pnadc_quarterly_documentation/dicionario_PNADC_microdados_trimestral.xls,IBGE state code,primary geography,no municipal identifier
uncalibrated_weight,PNADC quarterly,V1027,quarterly_uncalibrated_weight,available,Official IBGE quarterly dictionary: Darcio/references/pnadc_quarterly_documentation/dicionario_PNADC_microdados_trimestral.xls,annual uncalibrated weight,audit only,not used
upa,PNADC quarterly,UPA,upa,available,Official IBGE quarterly dictionary: Darcio/references/pnadc_quarterly_documentation/dicionario_PNADC_microdados_trimestral.xls,design PSU,variance,public design identifier
urban_rural,PNADC quarterly,V1022,urban_rural_code,available,Official IBGE quarterly dictionary: Darcio/references/pnadc_quarterly_documentation/dicionario_PNADC_microdados_trimestral.xls,official code,heterogeneity,none
visit,PNADC quarterly,V1016,available in raw; not required in current analytical extract,available in raw,Official IBGE quarterly dictionary: Darcio/references/pnadc_quarterly_documentation/dicionario_PNADC_microdados_trimestral.xls,official interview number 1-5,rotation audit only,not a person-longitudinal identifier
worked,PNADC quarterly,V4001,worked_reference_week,available,Official IBGE quarterly dictionary: Darcio/references/pnadc_quarterly_documentation/dicionario_PNADC_microdados_trimestral.xls,1 yes; 2 no,exploratory,exploratory only
year,PNADC quarterly,Ano,year,available,Official IBGE quarterly dictionary: Darcio/references/pnadc_quarterly_documentation/dicionario_PNADC_microdados_trimestral.xls,reference year,time,annual common frequency
